case,path,pass,category,text_before,text_after
tr_light_setup_entity_lighting,cases/root/extr_tr_light.c_R_SetupEntityLighting.c,looprolling,improved,844,840
tr_light_setup_entity_lighting,cases/root/extr_tr_light.c_R_SetupEntityLighting.c,regionrolling,improved,844,752
extract_1,cases/root/extract-1.c,looprolling,conservative_bailout,148,148
extract_1,cases/root/extract-1.c,regionrolling,conservative_bailout,148,148
extract_2,cases/root/extract-2.c,looprolling,conservative_bailout,160,160
extract_2,cases/root/extract-2.c,regionrolling,conservative_bailout,160,160
phi_3,cases/phi/phi-3.c,looprolling,conservative_bailout,108,108
phi_3,cases/phi/phi-3.c,regionrolling,conservative_bailout,108,108
phi_4,cases/phi/phi-4.c,looprolling,conservative_bailout,108,108
phi_4,cases/phi/phi-4.c,regionrolling,conservative_bailout,108,108
phi_5,cases/phi/phi-5.c,looprolling,conservative_bailout,108,108
phi_5,cases/phi/phi-5.c,regionrolling,conservative_bailout,108,108
phi_region_2,cases/phi/region-2.c,looprolling,conservative_bailout,112,112
phi_region_2,cases/phi/region-2.c,regionrolling,conservative_bailout,112,112
reduction_1,cases/reduction/example-1.c,looprolling,compile_fail,,
reduction_1,cases/reduction/example-1.c,regionrolling,compile_fail,,
reduction_2,cases/reduction/example-2.c,looprolling,compile_fail,,
reduction_2,cases/reduction/example-2.c,regionrolling,compile_fail,,
reduction_3,cases/reduction/example-3.c,looprolling,compile_fail,,
reduction_3,cases/reduction/example-3.c,regionrolling,compile_fail,,
region_0,cases/root/region-0.c,looprolling,conservative_bailout,52,52
region_0,cases/root/region-0.c,regionrolling,improved,52,44
region_1,cases/root/region-1.c,looprolling,conservative_bailout,84,84
region_1,cases/root/region-1.c,regionrolling,improved,84,40
region_2,cases/root/region-2.c,looprolling,conservative_bailout,140,140
region_2,cases/root/region-2.c,regionrolling,improved,140,92
region_23,cases/root/region-23.c,looprolling,conservative_bailout,152,152
region_23,cases/root/region-23.c,regionrolling,improved,152,96
region_3,cases/root/region-3.c,looprolling,conservative_bailout,136,136
region_3,cases/root/region-3.c,regionrolling,improved,136,92
region_4,cases/root/region-4.c,looprolling,conservative_bailout,168,168
region_4,cases/root/region-4.c,regionrolling,improved,168,100
region_before_1,cases/root/region-before-1.c,looprolling,conservative_bailout,128,128
region_before_1,cases/root/region-before-1.c,regionrolling,improved,128,84
region_before_2,cases/root/region-before-2.c,looprolling,conservative_bailout,176,176
region_before_2,cases/root/region-before-2.c,regionrolling,improved,176,104
region_before_3,cases/root/region-before-3.c,looprolling,conservative_bailout,192,192
region_before_3,cases/root/region-before-3.c,regionrolling,improved,192,108
region_extract_1,cases/root/region-extract-1.c,looprolling,conservative_bailout,128,128
region_extract_1,cases/root/region-extract-1.c,regionrolling,conservative_bailout,128,128
region_mismatch_2,cases/root/region-mismatch-2.c,looprolling,conservative_bailout,100,100
region_mismatch_2,cases/root/region-mismatch-2.c,regionrolling,regressed,100,108
runnable_region_1,cases/runnables/region-1.c,looprolling,compile_fail,,
runnable_region_1,cases/runnables/region-1.c,regionrolling,compile_fail,,
runnable_region_2,cases/runnables/region-2.c,looprolling,compile_fail,,
runnable_region_2,cases/runnables/region-2.c,regionrolling,compile_fail,,
s122,cases/root/s122.c,looprolling,compile_fail,,
s122,cases/root/s122.c,regionrolling,compile_fail,,
s123,cases/root/s123.c,looprolling,compile_fail,,
s123,cases/root/s123.c,regionrolling,compile_fail,,
s124,cases/root/s124.c,looprolling,compile_fail,,
s124,cases/root/s124.c,regionrolling,compile_fail,,
tsvc_271,cases/root/tsvc-271.c,looprolling,conservative_bailout,132,132
tsvc_271,cases/root/tsvc-271.c,regionrolling,improved,132,52
tsvc_273,cases/root/tsvc-273.c,looprolling,conservative_bailout,324,324
tsvc_273,cases/root/tsvc-273.c,regionrolling,conservative_bailout,324,324
angha_region_binop_type_mismatch,angha/binop_type_mismatch_server_socket.c,looprolling,conservative_bailout,1332,1332
angha_region_binop_type_mismatch,angha/binop_type_mismatch_server_socket.c,regionrolling,improved,1332,1260
angha_region_phi_incoming,angha/phi_incoming_nvc0_ibus_intr.c,looprolling,conservative_bailout,356,356
angha_region_phi_incoming,angha/phi_incoming_nvc0_ibus_intr.c,regionrolling,conservative_bailout,356,356
angha_region_mismatch_store,angha/mismatch_store_c_regular.c,looprolling,conservative_bailout,1008,1008
angha_region_mismatch_store,angha/mismatch_store_c_regular.c,regionrolling,regressed,1008,1032
angha_region_extract_dominance,angha/extract_dominance_htcp_record_rtt.c,looprolling,conservative_bailout,196,196
angha_region_extract_dominance,angha/extract_dominance_htcp_record_rtt.c,regionrolling,conservative_bailout,196,196
angha_region_empty_phi,angha/empty_phi_xdr_encode_sattr.c,looprolling,conservative_bailout,356,356
angha_region_empty_phi,angha/empty_phi_xdr_encode_sattr.c,regionrolling,conservative_bailout,356,356
